Method,In_Degree,Out_Degree,In_Degree_Centrality,Out_Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,PageRank,Clustering_Coefficient
"com.fasterxml.jackson.databind.deser.DeserializerCache#_createAndCache2(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.deser.DeserializerFactory,com.fasterxml.jackson.databind.JavaType)",1,10,0.0011806375442739079,0.011806375442739079,0.007036376475448042,0.003695908834248755,0.0008653116247122577,0.00909090909090909
com.fasterxml.jackson.databind.deser.BeanDeserializerBase#resolve(com.fasterxml.jackson.databind.DeserializationContext),1,14,0.0011806375442739079,0.01652892561983471,0.0005511037425931042,0.0032077699316121274,0.0005749978291490529,0.0
com.fasterxml.jackson.databind.type.TypeFactory#constructType(java.lang.reflect.Type),4,1,0.004722550177095631,0.0011806375442739079,0.0005047248760981836,0.0035419126328217238,0.0015279034185495563,0.0
"com.fasterxml.jackson.databind.type.TypeFactory#_constructType(java.lang.reflect.Type,com.fasterxml.jackson.databind.type.TypeBindings)",10,3,0.011806375442739079,0.0035419126328217233,0.00546053171087711,0.02077151335311573,0.004977329231459951,0.0
com.fasterxml.jackson.databind.introspect.AnnotatedClass#fields(),2,1,0.0023612750885478157,0.0011806375442739079,0.0001779329632327698,0.004354810614125071,0.0005657146005213192,0.0
com.fasterxml.jackson.databind.introspect.AnnotatedClass#resolveFields(),1,1,0.0011806375442739079,0.0011806375442739079,0.00015420856813506715,0.004125791563808092,0.001011439527530854,0.0
com.fasterxml.jackson.databind.introspect.AnnotatedClass#getAnnotation(java.lang.Class),1,2,0.0011806375442739079,0.0023612750885478157,0.002293969577749627,0.05433188698967506,0.004683315564056587,0.0
com.fasterxml.jackson.databind.introspect.AnnotationMap#get(java.lang.Class),4,0,0.004722550177095631,0.0,0.0,0.046423126740867245,0.026932633588071308,0.0
"com.fasterxml.jackson.databind.type.TypeFactory#_fromParamType(java.lang.reflect.ParameterizedType,com.fasterxml.jackson.databind.type.TypeBindings)",1,7,0.0011806375442739079,0.008264462809917356,0.0026531781850930797,0.01694915254237288,0.0007260287009880724,0.018518518518518517
"com.fasterxml.jackson.databind.type.MapType#construct(java.lang.Class,com.fasterxml.jackson.databind.JavaType,com.fasterxml.jackson.databind.JavaType)",6,1,0.007083825265643447,0.0011806375442739079,0.0002484083721994747,0.01657329195761536,0.002065237684033085,0.0
"com.fasterxml.jackson.databind.ser.BeanSerializerFactory#constructObjectIdHandler(com.fasterxml.jackson.databind.SerializerProvider,com.fasterxml.jackson.databind.BeanDescription,java.util.List)",1,1,0.0011806375442739079,0.0011806375442739079,1.5351079180866415e-05,0.0021645021645021645,0.0005600113403828422,0.0
com.fasterxml.jackson.databind.introspect.BasicBeanDescription#getObjectIdInfo(),2,0,0.0023612750885478157,0.0,0.0,0.004896653409430955,0.001491864413632102,0.0
com.fasterxml.jackson.databind.deser.impl.CreatorCollector#constructValueInstantiator(com.fasterxml.jackson.databind.DeserializationConfig),1,10,0.0011806375442739079,0.011806375442739079,0.00035447037381273355,0.003494370181374452,0.0005694713709372073,0.00909090909090909
com.fasterxml.jackson.databind.deser.std.StdValueInstantiator#configureFromStringCreator(com.fasterxml.jackson.databind.introspect.AnnotatedWithParams),1,0,0.0011806375442739079,0.0,0.0,0.0033416875522138683,0.0005788252116321866,0.0
com.fasterxml.jackson.databind.introspect.BasicBeanDescription#bindingsForBeanType(),2,2,0.0023612750885478157,0.0023612750885478157,8.047686964514816e-05,0.004722550177095631,0.0008108447716771805,0.0
com.fasterxml.jackson.databind.cfg.MapperConfig#getTypeFactory(),3,1,0.0035419126328217233,0.0011806375442739079,7.535984325152603e-05,0.014167650531286893,0.0021165142507312776,0.0
"com.fasterxml.jackson.databind.deser.BasicDeserializerFactory#mapAbstractType(com.fasterxml.jackson.databind.DeserializationConfig,com.fasterxml.jackson.databind.JavaType)",1,1,0.0011806375442739079,0.0011806375442739079,3.9075474278569056e-05,0.0031699309407902184,0.0005458755717486373,0.0
